concert_num,title,concert_content,start_date,end_date,performance_time,location,age_rate,payment_link,concert_poster
56,디폴트 단독공연: Sirius Pre-release Show,content_디폴트 단독공연 Sirius Pre release Show_0.png-,2025.04.26,2025.04.26,90분,홈즈레드 라운지 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211263,poster_디폴트 단독공연 Sirius Pre release Show.png
57,cacophony After April’s Party: 가장 사적 in Seoul,content_cacophony After April s Party 가장 사적 in Seoul_0.png-,2025.05.03,2025.05.03,90분,공상온도 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211258,poster_cacophony After April s Party 가장 사적 in Seoul.png
58,OGS 단독콘서트 ‘Future Past’ : 롤링 30주년 기념 공연,content_OGS 단독콘서트 Future Past 롤링 30주년 기념 공연_0.png-,2025.05.04,2025.05.04,120분,롤링홀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211252,poster_OGS 단독콘서트 Future Past 롤링 30주년 기념 공연.png
59,스킵잭 전국투어 ‘DRUG STORE’ in 광주,content_스킵잭 전국투어 DRUG STORE in 광주_0.png-,2025.05.04,2025.05.04,120분,보헤미안 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211223,poster_스킵잭 전국투어 DRUG STORE in 광주.png
60,Find own rhythm : 잭킹콩x암호,content_Find own rhythm 잭킹콩x암호_0.png-,2025.05.06,2025.05.06,120분,KT&G 상상마당 홍대 라이브홀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211276,poster_Find own rhythm 잭킹콩x암호.png
61,스킵잭 전국투어 ‘DRUG STORE’ in 서울,content_스킵잭 전국투어 DRUG STORE in 서울_0.png-,2025.05.10,2025.05.10,120분,빅팀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211232,poster_스킵잭 전국투어 DRUG STORE in 서울.png
62,Hi-Fi Un!corn 1st ASIA Tour “Beat it Beat it” IN SEOUL,content_Hi Fi Un corn 1st ASIA Tour Beat it Beat it IN SEOUL_0.png-,2025.05.23,2025.05.23,120분,KT&G 상상마당 홍대 라이브홀 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211128,poster_Hi Fi Un corn 1st ASIA Tour Beat it Beat it IN SEOUL.png
63,Get Together - 희망씨 나눔콘서트,content_Get Together 희망씨 나눔콘서트_0.png-,2025.04.27,2025.04.27,200분,벨로주 홍대 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211230,poster_Get Together 희망씨 나눔콘서트.png
64,먼데이프로젝트 시즌8 Our Universe [손을모아 단독 콘서트],content_먼데이프로젝트 시즌8 Our Universe 손을모아 단독 콘서트_0.png-,2025.05.01,2025.05.01,90분,벨로주 홍대 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211249,poster_먼데이프로젝트 시즌8 Our Universe 손을모아 단독 콘서트.png
65,2025 Bye Bye Badman 단독 공연 ‘Bad Timing’,content_2025 Bye Bye Badman 단독 공연 Bad Timing_0.png-,2025.05.10,2025.05.11,100분,KT&G 상상마당 홍대 라이브홀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211137,poster_2025 Bye Bye Badman 단독 공연 Bad Timing.png
66,2025 ZUHO CONCERT 주주총회: DOMINION,content_2025 ZUHO CONCERT 주주총회 DOMINION_0.png-,2025.04.26,2025.04.26,110분,일지아트홀 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211162,poster_2025 ZUHO CONCERT 주주총회 DOMINION.png
67,이지영 (빅마마) 단독콘서트 ‘봄날의 여유’ : 롤링 30주년 기념 공연,content_이지영 빅마마 단독콘서트 봄날의 여유 롤링 30주년 기념 공연_0.png-,2025.04.26,2025.04.26,90분,롤링홀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211180,poster_이지영 빅마마 단독콘서트 봄날의 여유 롤링 30주년 기념 공연.png
68,먼데이프로젝트 시즌8 Our Universe [ddbb 단독 콘서트],content_먼데이프로젝트 시즌8 Our Universe ddbb 단독 콘서트_0.png-,2025.04.28,2025.04.28,90분,클럽온에어 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211244,poster_먼데이프로젝트 시즌8 Our Universe ddbb 단독 콘서트.png
69,스킵잭 전국투어 ‘DRUG STORE’ in 부산,content_스킵잭 전국투어 DRUG STORE in 부산_0.png-,2025.05.03,2025.05.03,120분,리얼라이즈 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211222,poster_스킵잭 전국투어 DRUG STORE in 부산.png
70,유스웨더나잇,content_유스웨더나잇_0.png-,2025.05.03,2025.05.04,540분,문화비축기지 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211091,poster_유스웨더나잇.png
71,제72회 라이브 클럽 데이－블라인드 티켓,content_제72회 라이브 클럽 데이 블라인드 티켓_0.png-,2025.04.25,2025.04.25,180분,LIVE CLUB DAY ,13세 이상,https://ticket.melon.com/performance/index.htm?prodId=211245,poster_제72회 라이브 클럽 데이 블라인드 티켓.png
72,KIM GYEOL 3rd Solo Concert “ANOTHER I”,content_KIM GYEOL 3rd Solo Concert ANOTHER I_0.png-,2025.04.26,2025.04.27,100분,구름아래소극장 ,미취학아동입장불가,https://ticket.melon.com/performance/index.htm?prodId=211240,poster_KIM GYEOL 3rd Solo Concert ANOTHER I.png
73,NAZCA RECORDS CONCERT [나즈카 레코드 콘서트],content_NAZCA RECORDS CONCERT 나즈카 레코드 콘서트_0.png-,2025.04.26,2025.04.26,90분,벨로주 홍대 ,14세 이상,https://ticket.melon.com/performance/index.htm?prodId=211225,poster_NAZCA RECORDS CONCERT 나즈카 레코드 콘서트.png
74,Sora Kim 2nd Album Release Concert,content_Sora Kim 2nd Album Release Concert_0.png-,2025.04.26,2025.04.26,100분,톤 스튜디오 ,7세 이상,https://ticket.melon.com/performance/index.htm?prodId=211213,poster_Sora Kim 2nd Album Release Concert.png
75,먼데이프로젝트 시즌8 [급한노새 싱글 발매 기념 단독 콘서트 ‘럭키’],content_먼데이프로젝트 시즌8 급한노새 싱글 발매 기념 단독 콘서트 럭키_0.png-,2025.05.01,2025.05.01,75분,언플러그드 홍대 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211248,poster_먼데이프로젝트 시즌8 급한노새 싱글 발매 기념 단독 콘서트 럭키.png
76,2025 한대음 페스티벌,content_2025 한대음 페스티벌_0.png-,2025.05.02,2025.05.03,480분,"현대카드 언더스테이지, 뮤직 라이브러리, 바이닐 앤 플라스틱 ",전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211253,poster_2025 한대음 페스티벌.png
77,2025 10CM ‘Centiner MEMBERSHIP’ 이벤트 〈올해는 내려나 봄〉,content_2025 10CM Centiner MEMBERSHIP 이벤트 올해는 내려나 봄_0.png-,2025.05.03,2025.05.03,120분,KT&G 상상마당 춘천 야외공연장,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211277,poster_2025 10CM Centiner MEMBERSHIP 이벤트 올해는 내려나 봄.png
78,TONE STUDIO LIVE 〈위수(WISUE)〉,content_TONE STUDIO LIVE 위수 WISUE_0.png-,2025.05.03,2025.05.03,80분,톤 스튜디오 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211241,poster_TONE STUDIO LIVE 위수 WISUE.png
79,유희도 굿바이 콘서트 “고양이 나라에 잠깐 다녀올게”,content_유희도 굿바이 콘서트 고양이 나라에 잠깐 다녀올게_0.png-,2025.05.10,2025.05.10,90분,연남스페이스 ,13세 이상,https://ticket.melon.com/performance/index.htm?prodId=211316,poster_유희도 굿바이 콘서트 고양이 나라에 잠깐 다녀올게.png
80,키라라 단독공연 애프터,content_키라라 단독공연 애프터_0.png-,2025.05.10,2025.05.10,180분,SPACE SODA2002 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211330,poster_키라라 단독공연 애프터.png
81,먼데이프로젝트 시즌8 THE ORIGINAL [서울전자음악단 단독 콘서트],content_먼데이프로젝트 시즌8 THE ORIGINAL 서울전자음악단 단독 콘서트_0.png-,2025.05.12,2025.05.12,100분,클럽온에어 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211302,poster_먼데이프로젝트 시즌8 THE ORIGINAL 서울전자음악단 단독 콘서트.png
82,먼데이프로젝트 시즌8 [공공카펫 EP 앨범 발매 공연 ‘부서지고/빛나는’],content_먼데이프로젝트 시즌8 공공카펫 EP 앨범 발매 공연 부서지고 빛나는_0.png-,2025.05.12,2025.05.12,70분,공상온도 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211332,poster_먼데이프로젝트 시즌8 공공카펫 EP 앨범 발매 공연 부서지고 빛나는.png
83,Dive Right into Indie [루아멜 단독공연],content_Dive Right into Indie 루아멜 단독공연_0.png-,2025.05.14,2025.05.14,70분,언플러그드 홍대 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211319,poster_Dive Right into Indie 루아멜 단독공연.png
84,먼데이프로젝트 IN 라이브클럽 [Erotic Worms Exhibition 단독콘서트],content_먼데이프로젝트 IN 라이브클럽 Erotic Worms Exhibition 단독콘서트_0.png-,2025.05.15,2025.05.15,90분,공상온도 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211306,poster_먼데이프로젝트 IN 라이브클럽 Erotic Worms Exhibition 단독콘서트.png
85,Leaveourtears ASIA TOUR in SEOUL,content_Leaveourtears ASIA TOUR in SEOUL_0.png-,2025.05.17,2025.05.17,100분,벨로주 홍대 ,12세 이상,https://ticket.melon.com/performance/index.htm?prodId=211310,poster_Leaveourtears ASIA TOUR in SEOUL.png
86,TONE STUDIO LIVE 〈소울 딜리버리(Soul delivery)〉,content_TONE STUDIO LIVE 소울 딜리버리 Soul delivery_0.png-,2025.05.17,2025.05.17,80분,톤 스튜디오 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211298,poster_TONE STUDIO LIVE 소울 딜리버리 Soul delivery.png
87,Vahn fanmeeting 〈TURN ON THE 99.57Mhz〉,content_Vahn fanmeeting TURN ON THE 99 57Mhz_0.png-,2025.05.18,2025.05.18,70분,온맘씨어터 ,7세 이상,https://ticket.melon.com/performance/index.htm?prodId=211311,poster_Vahn fanmeeting TURN ON THE 99 57Mhz.png
88,강지원 단독 공연 ‘Interseason’,content_강지원 단독 공연 Interseason_0.png-,2025.05.18,2025.05.18,100분,구름아래소극장 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211299,poster_강지원 단독 공연 Interseason.png
89,먼데이프로젝트 시즌8 My Universe [최수환 단독 콘서트],content_먼데이프로젝트 시즌8 My Universe 최수환 단독 콘서트_0.png-,2025.05.19,2025.05.19,120분,클럽온에어 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211333,poster_먼데이프로젝트 시즌8 My Universe 최수환 단독 콘서트.png
90,[포항] 2025 브로콜리너마저 클럽 투어 - 매일 새롭게 태어나는 꿈 #3 포항,content_포항 2025 브로콜리너마저 클럽 투어 매일 새롭게 태어나는 꿈 3 포항_0.png-,2025.05.23,2025.05.23,100분,포항 록돰 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211320,poster_포항 2025 브로콜리너마저 클럽 투어 매일 새롭게 태어나는 꿈 3 포항.png
91,[대구] 2025 브로콜리너마저 클럽 투어 - 매일 새롭게 태어나는 꿈 #4 대구,content_대구 2025 브로콜리너마저 클럽 투어 매일 새롭게 태어나는 꿈 4 대구_0.png-,2025.05.24,2025.05.24,100분,대구 라이브홀 락왕 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211321,poster_대구 2025 브로콜리너마저 클럽 투어 매일 새롭게 태어나는 꿈 4 대구.png
92,중식이밴드 대도시 클럽 투어 - 대전,content_중식이밴드 대도시 클럽 투어 대전_0.png-content_중식이밴드 대도시 클럽 투어 대전_1.png-,2025.05.24,2025.05.24,120분,인터플레이 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211325,poster_중식이밴드 대도시 클럽 투어 대전.png
